schedule_date,season_year,week_number,HT_season_record_OU,HT_season_record_AS,HT_season_record_SU,team_home,home_score,away_score,team_away,AT_season_record_SU,AT_season_record_AS,AT_season_record_OU,team_favorite_id,favorite_spread,over_under_total,home_SU,away_SU,home_AS,away_AS,OU_result,stadium,stadium_neutral,weather_detail,temperature,wind_mph,humidity,fav_home_away,HT_season_wins_SU,HT_season_losses_SU,HT_season_ties_SU,HT_season_wins_AS,HT_season_losses_AS,HT_season_pushes_AS,AT_season_losses_AS,AT_season_pushes_AS,AT_season_wins_AS,AT_season_wins_SU,AT_season_losses_SU,AT_season_ties_SU,HT_season_overs,HT_season_unders,HT_season_pushes_OU,AT_season_overs,AT_season_unders,AT_season_pushes_OU
9/26/1999,1999,3,0-2-0,1-1-0,1-1-0,Tampa Bay Buccaneers,13,10,Denver Broncos,0-2-0,0-2-0,1-1-0,TB,-2,38,Win,Loss,Win,Loss,Under,Raymond James Stadium,FALSE,,78,7,90,Home,1,1,0,1,1,0,2,0,0,0,2,0,0,2,0,1,1,0
9/27/1999,1999,3,1-1-0,1-1-0,1-1-0,Arizona Cardinals,10,24,San Francisco 49ers,1-1-0,0-2-0,1-1-0,SF,-2,45.5,Loss,Win,Loss,Win,Under,University of Phoenix Stadium,FALSE,,87,7,33,Away,1,1,0,1,1,0,2,0,0,1,1,0,1,1,0,1,1,0
10/3/1999,1999,4,1-2-0,1-2-0,0-3-0,Atlanta Falcons,13,19,Baltimore Ravens,1-2-0,0-3-0,1-2-0,ATL,-2,36.5,Loss,Win,Loss,Win,Under,Georgia Dome,FALSE,indoor,72,0,0,Home,0,3,0,1,2,0,3,0,0,1,2,0,1,2,0,1,2,0
10/3/1999,1999,4,1-2-0,2-0-1,1-2-0,Chicago Bears,14,10,New Orleans Saints,1-1-0,2-0-0,1-1-0,NO,-1,37,Win,Loss,Win,Loss,Under,Soldier Field,FALSE,,44,8,81,Away,1,2,0,2,0,1,0,0,2,1,1,0,1,2,0,1,1,0
10/3/1999,1999,4,2-1-0,1-2-0,0-3-0,Cincinnati Bengals,10,38,St. Louis Rams,2-0-0,2-0-0,1-1-0,LAR,-4,44,Loss,Win,Loss,Win,Over,Cinergy Field,FALSE,,62,12,57,Away,0,3,0,1,2,0,0,0,2,2,0,0,2,1,0,1,1,0
10/3/1999,1999,4,1-2-0,1-2-0,0-3-0,Cleveland Browns,7,19,New England Patriots,3-0-0,1-2-0,2-1-0,NE,-12,38,Loss,Win,Push,Push,Under,FirstEnergy Stadium,FALSE,,56,14,68,Away,0,3,0,1,2,0,2,0,1,3,0,0,1,2,0,2,1,0
10/3/1999,1999,4,1-1-0,2-0-0,2-0-0,Dallas Cowboys,35,7,Arizona Cardinals,1-2-0,1-2-0,1-2-0,DAL,-7,42.5,Win,Loss,Win,Loss,Under,Texas Stadium,FALSE,,78,10,54,Home,2,0,0,2,0,0,2,0,1,1,2,0,1,1,0,1,2,0
10/3/1999,1999,4,1-2-0,0-3-0,0-3-0,Denver Broncos,13,21,New York Jets,0-3-0,0-3-0,2-1-0,DEN,-6,40,Loss,Win,Loss,Win,Under,Mile High Stadium,FALSE,,41,11,75,Home,0,3,0,0,3,0,3,0,0,0,3,0,1,2,0,2,1,0
10/3/1999,1999,4,0-3-0,0-3-0,1-2-0,Minnesota Vikings,21,14,Tampa Bay Buccaneers,2-1-0,2-1-0,0-3-0,MIN,-7,40.5,Win,Loss,Push,Push,Under,Hubert H. Humphrey Metrodome,FALSE,indoor,72,0,0,Home,1,2,0,0,3,0,1,0,2,2,1,0,0,3,0,0,3,0
10/3/1999,1999,4,1-2-0,2-1-0,1-2-0,New York Giants,16,15,Philadelphia Eagles,0-3-0,1-2-0,1-2-0,NYG,-10,35.5,Win,Loss,Loss,Win,Under,Giants Stadium,FALSE,,67,12,71,Home,1,2,0,2,1,0,2,0,1,0,3,0,1,2,0,1,2,0
10/3/1999,1999,4,3-0-0,2-1-0,2-1-0,Pittsburgh Steelers,3,17,Jacksonville Jaguars,2-1-0,1-2-0,0-3-0,JAX,-3,42,Loss,Win,Loss,Win,Under,Three Rivers Stadium,FALSE,,60,9,66,Away,2,1,0,2,1,0,2,0,1,2,1,0,3,0,0,0,3,0
10/3/1999,1999,4,2-0-0,1-1-0,1-1-0,San Diego Chargers,21,14,Kansas City Chiefs,2-1-0,2-1-0,1-2-0,LAC,-1,38.5,Win,Loss,Win,Loss,Under,Qualcomm Stadium,FALSE,,65,10,80,Home,1,1,0,1,1,0,1,0,2,2,1,0,2,0,0,1,2,0
10/3/1999,1999,4,1-2-0,1-2-0,2-1-0,San Francisco 49ers,24,22,Tennessee Titans,3-0-0,2-1-0,1-2-0,SF,-2,40.5,Win,Loss,Win,Loss,Over,Candlestick Park,FALSE,,60,9,78,Home,2,1,0,1,2,0,1,0,2,3,0,0,1,2,0,1,2,0
10/3/1999,1999,4,2-1-0,1-2-0,2-1-0,Seattle Seahawks,22,21,Oakland Raiders,2-1-0,2-0-1,2-1-0,SEA,-4,40.5,Win,Loss,Loss,Win,Over,Seattle Kingdome,FALSE,indoor,72,0,0,Home,2,1,0,1,2,0,0,1,2,2,1,0,2,1,0,2,1,0
10/3/1999,1999,4,3-0-0,2-1-0,2-1-0,Washington Redskins,38,36,Carolina Panthers,1-2-0,2-1-0,0-3-0,WAS,-8,45.5,Win,Loss,Loss,Win,Over,FedEx Field,FALSE,,66,8,74,Home,2,1,0,2,1,0,1,0,2,1,2,0,3,0,0,0,3,0
10/4/1999,1999,4,1-1-0,1-1-0,2-0-0,Miami Dolphins,18,23,Buffalo Bills,2-1-0,2-1-0,0-3-0,MIA,-4,40.5,Loss,Win,Loss,Win,Over,Sun Life Stadium,FALSE,,82,13,83,Home,2,0,0,1,1,0,1,0,2,2,1,0,1,1,0,0,3,0
10/10/1999,1999,5,1-3-0,1-3-0,1-3-0,Arizona Cardinals,14,3,New York Giants,2-2-0,2-2-0,1-3-0,ARI,-3,37.5,Win,Loss,Win,Loss,Under,University of Phoenix Stadium,FALSE,,84,6,24,Home,1,3,0,1,3,0,2,0,2,2,2,0,1,3,0,1,3,0
10/10/1999,1999,5,1-3-0,3-1-0,3-1-0,Buffalo Bills,24,21,Pittsburgh Steelers,2-2-0,2-2-0,3-1-0,BUF,-6,38,Win,Loss,Loss,Win,Over,Ralph Wilson Stadium,FALSE,,60,8,92,Home,3,1,0,3,1,0,2,0,2,2,2,0,1,3,0,3,1,0
10/10/1999,1999,5,1-3-0,1-2-1,0-4-0,Cleveland Browns,17,18,Cincinnati Bengals,0-4-0,1-3-0,3-1-0,CIN,-3,36,Loss,Win,Win,Loss,Under,FirstEnergy Stadium,FALSE,,62,6,94,Away,0,4,0,1,2,1,3,0,1,0,4,0,1,3,0,3,1,0
10/10/1999,1999,5,2-1-0,2-1-0,2-1-0,Detroit Lions,10,20,San Diego Chargers,2-1-0,2-1-0,2-1-0,DET,-4,40,Loss,Win,Loss,Win,Under,Pontiac Silverdome,FALSE,indoor,72,0,0,Home,2,1,0,2,1,0,1,0,2,2,1,0,2,1,0,2,1,0
10/10/1999,1999,5,1-2-0,1-2-0,2-1-0,Green Bay Packers,26,23,Tampa Bay Buccaneers,2-2-0,2-1-1,0-4-0,GB,-6,40.5,Win,Loss,Loss,Win,Over,Lambeau Field,FALSE,,58,10,74,Home,2,1,0,1,2,0,1,1,2,2,2,0,1,2,0,0,4,0
10/10/1999,1999,5,2-1-0,3-0-0,2-1-0,Indianapolis Colts,31,34,Miami Dolphins,2-1-0,1-2-0,2-1-0,MIA,-2,44.5,Loss,Win,Loss,Win,Over,RCA Dome,FALSE,indoor,72,0,0,Away,2,1,0,3,0,0,2,0,1,2,1,0,2,1,0,2,1,0
10/10/1999,1999,5,1-3-0,2-2-0,2-2-0,Kansas City Chiefs,16,14,New England Patriots,4-0-0,1-2-1,2-2-0,KC,-2,41,Win,Loss,Loss,Win,Under,Arrowhead Stadium,FALSE,,65,8,76,Home,2,2,0,2,2,0,2,1,1,4,0,0,1,3,0,2,2,0
10/10/1999,1999,5,0-4-0,0-3-1,2-2-0,Minnesota Vikings,22,24,Chicago Bears,2-2-0,3-0-1,1-3-0,MIN,-13,43.5,Loss,Win,Loss,Win,Over,Hubert H. Humphrey Metrodome,FALSE,indoor,72,0,0,Home,2,2,0,0,3,1,0,1,3,2,2,0,0,4,0,1,3,0
10/10/1999,1999,5,1-2-0,2-1-0,1-2-0,New Orleans Saints,17,20,Atlanta Falcons,0-4-0,1-3-0,1-3-0,NO,-3,35.5,Loss,Win,Loss,Win,Over,Louisiana Superdome,FALSE,indoor,72,0,0,Home,1,2,0,2,1,0,3,0,1,0,4,0,1,2,0,1,3,0
10/10/1999,1999,5,3-1-0,3-0-1,2-2-0,Oakland Raiders,13,16,Denver Broncos,0-4-0,0-4-0,1-3-0,LVR,-7,38,Loss,Win,Loss,Win,Under,Oakland Coliseum,FALSE,,71,10,57,Home,2,2,0,3,0,1,4,0,0,0,4,0,3,1,0,1,3,0
10/10/1999,1999,5,1-3-0,2-2-0,0-4-0,Philadelphia Eagles,13,10,Dallas Cowboys,3-0-0,3-0-0,1-2-0,DAL,-10,37,Win,Loss,Win,Loss,Under,Veterans Stadium,FALSE,,64,11,98,Away,0,4,0,2,2,0,0,0,3,3,0,0,1,3,0,1,2,0
10/10/1999,1999,5,2-1-0,3-0-0,3-0-0,St. Louis Rams,42,20,San Francisco 49ers,3-1-0,2-2-0,2-2-0,LAR,-3,45.5,Win,Loss,Win,Loss,Over,Edward Jones Dome,FALSE,indoor,72,0,0,Home,3,0,0,3,0,0,2,0,2,3,1,0,2,1,0,2,2,0
10/10/1999,1999,5,2-2-0,2-2-0,3-1-0,Tennessee Titans,14,11,Baltimore Ravens,2-2-0,1-3-0,1-3-0,TEN,-7,38.5,Win,Loss,Loss,Win,Under,Nissan Stadium,FALSE,,71,8,83,Home,3,1,0,2,2,0,3,0,1,2,2,0,2,2,0,1,3,0
10/11/1999,1999,5,2-2-0,1-3-0,1-3-0,New York Jets,6,16,Jacksonville Jaguars,3-1-0,2-2-0,0-4-0,JAX,-3,40,Loss,Win,Loss,Win,Under,Giants Stadium,FALSE,,68,12,67,Away,1,3,0,1,3,0,2,0,2,3,1,0,2,2,0,0,4,0
