,,,,,,,,,,,,% Played 5-8,14.29%,27.59%,21.56%,22.37%,17.41%,16.49%,25.16%,,,,
,,,,,,,,,,,,% Played 9-12,42.86%,13.79%,14.97%,18.31%,19.53%,19.15%,18.71%,,,,
,,,,,,,,,,,,% Played 13+,14.29%,17.24%,34.73%,37.29%,41.95%,40.96%,30.97%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Season Rank,Average FP Per Tocuh,,Range,Average Ave. FP Per Touch,,,,,,,,,,,,,,,,,,
,1,0.8637618022,,1-10,0.7685808763,,,,,,,,,,,,,,,,,,
,2,0.7998669876,,11-20,0.6650703221,,,,,,,,,,,,,,,,,,
,3,0.7622484671,,21-30,0.6851018741,,,,,,,,,,,,,,,,,,
,4,0.7760115793,,31-40,0.6447723697,,,,,,,,,,,,,,,,,,
,5,0.8243933933,,,,,,,,,,,,,,,,,,,,,
,6,0.7330496221,,,,,,,,,,,,,,,,,,,,,
,7,0.7705349594,,,,,,,,,,,,,,,,,,,,,
,8,0.7383585458,,,,,,,,,,,,,,,,,,,,,
,9,0.6731217329,,,,,,,,,,,,,,,,,,,,,
,10,0.7444616734,,,,,,,,,,,,,,,,,,,,,
,11,0.7035617643,,,,,,,,,,,,,,,,,,,,,
,12,0.664050552,,,,,,,,,,,,,,,,,,,,,
,13,0.686260847,,,,,,,,,,,,,,,,,,,,,
,14,0.6287913967,,,,,,,,,,,,,,,,,,,,,
,15,0.6614193937,,,,,,,,,,,,,,,,,,,,,
,16,0.6569827776,,,,,,,,,,,,,,,,,,,,,
,17,0.6700248205,,,,,,,,,,,,,,,,,,,,,
,18,0.624571395,,,,,,,,,,,,,,,,,,,,,
,19,0.6849995903,,,,,,,,,,,,,,,,,,,,,
,20,0.6700406836,,,,,,,,,,,,,,,,,,,,,
,21,0.6575666801,,,,,,,,,,,,,,,,,,,,,
,22,0.6592448199,,,,,,,,,,,,,,,,,,,,,
,23,0.6789951183,,,,,,,,,,,,,,,,,,,,,
,24,0.6317986097,,,,,,,,,,,,,,,,,,,,,
,25,0.6587518839,,,,,,,,,,,,,,,,,,,,,
,26,0.6942446622,,,,,,,,,,,,,,,,,,,,,
,27,0.6927052621,,,,,,,,,,,,,,,,,,,,,
,28,0.6986565066,,,,,,,,,,,,,,,,,,,,,
,29,0.6616034029,,,,,,,,,,,,,,,,,,,,,
,30,0.817451795,,,,,,,,,,,,,,,,,,,,,
,31,0.6232438314,,,,,,,,,,,,,,,,,,,,,
,32,0.6178988369,,,,,,,,,,,,,,,,,,,,,
,33,0.6018587545,,,,,,,,,,,,,,,,,,,,,
,34,0.6531604681,,,,,,,,,,,,,,,,,,,,,
,35,0.6654923147,,,,,,,,,,,,,,,,,,,,,
,36,0.6638312915,,,,,,,,,,,,,,,,,,,,,
,37,0.7041657927,,,,,,,,,,,,,,,,,,,,,
,38,0.6345164361,,,,,,,,,,,,,,,,,,,,,
,39,0.661665961,,,,,,,,,,,,,,,,,,,,,
